Category,Field_Name,Data_Type,Example_Data,Notes,Priority
WBC_Specific_Content,wbc_2026_teams,text_list,"United States, Mexico, Italy, Great Britain, Brazil",,High
WBC_Specific_Content,wbc_2026_dates,text,March 6-11 2026,,High
WBC_Specific_Content,wbc_2026_games_count,integer,10,Pool play games,Medium
WBC_Specific_Content,wbc_2026_quarterfinals,boolean,TRUE,If hosting quarterfinals,High
WBC_Specific_Content,wbc_2026_semifinals,boolean,FALSE,,High
WBC_Specific_Content,wbc_2026_finals,boolean,FALSE,,High
WBC_Specific_Content,wbc_games_hosted_history,text,"2006 (Round 1), 2009 (Round 2), 2013 (Round 1), 2017 (Round 2)",,Medium
WBC_Specific_Content,memorable_wbc_moments,text,Japan's 2023 championship game victory with Ohtani striking out Trout,,Medium
WBC_Specific_Content,past_wbc_attendance_record,integer,36123,Highest attendance at this venue for WBC,Low

Rich_Media,photo_gallery_url,url,https://www.mlb.com/astros/ballpark/photos,,Medium
Rich_Media,virtual_tour_url,url,https://www.mlb.com/astros/ballpark/virtual-tour,360 degree views,Low
Rich_Media,stadium_map_seating_chart_url,url,https://www.mlb.com/astros/ballpark/seating-map,,High
Rich_Media,video_highlights_url,url,https://www.youtube.com/playlist,,Low
Rich_Media,drone_footage_url,url,https://www.youtube.com/watch,,Low

Interactive_Features,google_maps_embed,url,https://maps.google.com/?q=Daikin+Park+Houston,,High
Interactive_Features,weather_widget_api,text,OpenWeatherMap API or WeatherAPI,,High
Interactive_Features,current_weather_conditions,dynamic,Pull from API,,High
Interactive_Features,7day_forecast,dynamic,Pull from API,,Medium
Interactive_Features,ticket_purchase_link,url,https://www.mlb.com/world-baseball-classic/tickets,,High
Interactive_Features,compare_stadiums_feature,boolean,TRUE,Side-by-side comparison tool,Medium
Interactive_Features,fan_reviews_ratings,boolean,TRUE,User-generated content,Low
Interactive_Features,share_social_media,boolean,TRUE,Share buttons,Low

Historical_Cultural_Context,stadium_nickname,text,The Juice Box (former); Daikin Dome,,Low
Historical_Cultural_Context,stadium_nickname_current,text,TBD - too new,,Low
Historical_Cultural_Context,major_renovations,text_list,2016 outfield wall installation; 2012 HD video board,,Medium
Historical_Cultural_Context,famous_non_wbc_events,text_list,World Series (2017 2019 2021 2022); All-Star Game (2004); Super Bowl Opening Night,,Medium
Historical_Cultural_Context,concerts_hosted,text_list,"Paul McCartney, Taylor Swift, Bad Bunny, Lady Gaga, Red Hot Chili Peppers",,Low
Historical_Cultural_Context,local_baseball_culture,text,Houston has deep baseball roots; home to Negro League teams; Latino baseball heritage,,Low
Historical_Cultural_Context,significance_to_region,text,Replaced Astrodome; downtown revitalization anchor; cultural gathering place,,Medium
Historical_Cultural_Context,national_register_status,text,Not listed,Historic designation if applicable,Low

Stadium_Operations,owned_by,text,Houston Astros (Jim Crane),Ownership entity,Medium
Stadium_Operations,operated_by,text,Houston Astros,,Medium
Stadium_Operations,construction_cost,text,$250 million (2000 dollars),,Low
Stadium_Operations,construction_cost_inflation_adjusted,text,$450 million (2026 dollars),,Low
Stadium_Operations,annual_attendance,integer,2850000,Approximate MLB season,Low
Stadium_Operations,food_beverage_options,text_list,Traditional ballpark fare; local BBQ; Tex-Mex; craft beer,,Medium
Stadium_Operations,premium_dining,text,"Club level restaurants; suite catering; Budweiser Brewhouse",,Low
Stadium_Operations,wifi_available,boolean,TRUE,,Low
Stadium_Operations,mobile_app,text,MLB Ballpark App,,Low

Technical_Specifications,total_square_footage,integer,1263240,,Low
Technical_Specifications,playing_field_square_footage,integer,130680,,Low
Technical_Specifications,elevation_above_sea_level,integer,50,Feet,Low
Technical_Specifications,orientation,text,North-Northeast,,Low
Technical_Specifications,foul_territory,text,Medium,,Low
Technical_Specifications,wall_height_left,integer,19,Feet,Low
Technical_Specifications,wall_height_center,integer,8,Feet,Low
Technical_Specifications,wall_height_right,integer,7,Feet,Low

Safety_Sustainability,hurricane_resistant,boolean,TRUE,For Miami/Puerto Rico stadiums,Medium
Safety_Sustainability,earthquake_resistant,boolean,TRUE,For Tokyo stadium,Medium
Safety_Sustainability,emergency_exits,integer,24,,Low
Safety_Sustainability,leed_certification,text,LEED Silver,Environmental certification,Low
Safety_Sustainability,sustainability_features,text_list,Energy-efficient LED lighting; water conservation systems; recycling program,,Low
Safety_Sustainability,solar_panels,boolean,FALSE,,Low
Safety_Sustainability,rainwater_collection,boolean,FALSE,,Low

WBC_2026_Schedule,pool_play_start_date,date,2026-03-06,,High
WBC_2026_Schedule,pool_play_end_date,date,2026-03-11,,High
WBC_2026_Schedule,quarterfinal_dates,date,2026-03-13 to 2026-03-14,If applicable,Medium
WBC_2026_Schedule,game_times,text,Various - TBD,,Medium
WBC_2026_Schedule,broadcast_info,text,FOX Media in USA; Netflix in Japan,,Medium

Additional_Links,official_stadium_website,url,https://www.mlb.com/astros/ballpark,,High
Additional_Links,team_website,url,https://www.mlb.com/astros,,Medium
Additional_Links,wbc_official_page,url,https://www.mlb.com/world-baseball-classic,,High
Additional_Links,wikipedia_page,url,https://en.wikipedia.org/wiki/Daikin_Park,,Low
Additional_Links,google_reviews,url,https://www.google.com/maps/reviews,,Low
Additional_Links,tripadvisor_reviews,url,https://www.tripadvisor.com/,,Low
Additional_Links,instagram_account,url,https://www.instagram.com/astros/,,Low
Additional_Links,twitter_account,url,https://twitter.com/astros,,Low
